udid,observationTime,timeDiff,eclipseType,maxEclipse,timeSubmit,totalBegins,obscuration,flying,hear,perchedAlone,perchedOthers,sing,sitting,swimming,walking,other,eating,obscuration_bins,timeDiff_bins
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:05:43.765758,partial,2024-04-08 15:10:00,2024-04-08 15:15:43.765758,2024-04-08 13:53:00,0.998,False,False,False,True,True,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:17:13.855658,partial,2024-04-08 15:10:00,2024-04-08 14:52:46.144342,2024-04-08 13:53:00,0.998,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:18:15.996611,partial,2024-04-08 15:10:00,2024-04-08 14:51:44.003389,2024-04-08 13:53:00,0.998,False,False,True,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:18:42.141124,partial,2024-04-08 15:10:00,2024-04-08 14:51:17.858876,2024-04-08 13:53:00,0.998,False,False,False,False,False,False,False,True,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
58B4435C-32E8-4ED0-BE66-0CF4AD287200,during,0 days 00:33:16.011032,partial,2024-04-08 15:10:00,2024-04-08 14:36:43.988968,2024-04-08 13:53:00,0.998,False,False,True,False,False,False,False,False,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
58E55619-D709-4AF5-9FD1-3160FCFACA4C,before,0 days 00:03:55.291264,total,2024-04-08 15:17:00,2024-04-08 15:13:04.708736,2024-04-08 15:16:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
58E55619-D709-4AF5-9FD1-3160FCFACA4C,before,0 days 00:02:25.733495,total,2024-04-08 15:17:00,2024-04-08 15:14:34.266505,2024-04-08 15:16:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
58E55619-D709-4AF5-9FD1-3160FCFACA4C,after,0 days 00:01:07.376540,total,2024-04-08 15:17:00,2024-04-08 15:18:07.376540,2024-04-08 15:16:00,1.0,False,False,False,False,True,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
58bda570e639ec22,before,0 days 00:14:07.548514,total,2024-04-08 15:27:00,2024-04-08 15:12:52.451486,2024-04-08 15:25:00,1.0,False,False,False,False,False,False,False,False,False,True,1,"(0 days 00:05:00, 0 days 00:15:00]"
58bda570e639ec22,before,0 days 00:12:09.954207,total,2024-04-08 15:27:00,2024-04-08 15:14:50.045793,2024-04-08 15:25:00,1.0,False,False,True,False,False,False,False,False,False,True,1,"(0 days 00:05:00, 0 days 00:15:00]"
58be1ec0b5f01c35,before,0 days 00:21:50.814320,total,2024-04-08 15:06:00,2024-04-08 14:44:09.185680,2024-04-08 15:04:00,1.0,True,False,False,True,False,False,False,False,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
58be1ec0b5f01c35,before,0 days 00:23:56.675926,total,2024-04-08 15:06:00,2024-04-08 14:42:03.324074,2024-04-08 15:04:00,1.0,False,False,True,False,False,False,False,False,False,True,1,"(0 days 00:15:00, 0 days 01:00:00]"
58be1ec0b5f01c35,before,0 days 00:27:07.882467,total,2024-04-08 15:06:00,2024-04-08 14:38:52.117533,2024-04-08 15:04:00,1.0,False,True,True,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
58be1ec0b5f01c35,before,0 days 00:25:14.642788,total,2024-04-08 15:06:00,2024-04-08 14:40:45.357212,2024-04-08 15:04:00,1.0,True,False,True,False,False,True,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
593a29519429d18c,before,0 days 00:03:12.567973,total,2024-04-08 15:06:00,2024-04-08 15:02:47.432027,2024-04-08 15:04:00,1.0,True,False,False,False,True,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
593a29519429d18c,before,0 days 00:12:53.221976,total,2024-04-08 15:06:00,2024-04-08 14:53:06.778024,2024-04-08 15:04:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
